#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
622;J1146-6030;3.657986;111.68;
623;J1147-66;268.817204;133.80;
624;J1148-5725;0.280904;174.00;
625;J1148-6415;0.308544;241.00;
626;J1151-6108;9.839305;217.80;
627;J1152-5800;0.558712;191.00;
628;J1152-6012;2.655552;74.00;
629;J1153-2117;0.426716;34.80;
630;J1154-19;90.090090;10.69;
631;J1154-6250;3.545952;74.00;
632;J1156-1318;*;28.00;
633;J1156-5707;3.467205;243.20;
634;J1156-5909;0.963455;219.20;
635;J1157-5112;22.941448;39.67;
636;J1157-6224;2.496719;325.20;
637;J1159-6409;1.498160;178.00;
638;J1159-7910;1.904493;59.24;
639;J1201-6306;1.688801;683.00;
640;J1202-5820;2.208465;145.41;
641;J1203-6242;9.940000;*;
642;J1204-6843;3.237704;133.93;
643;J1207-4508;0.565027;84.50;
644;J1207-5050;206.493932;50.67;
645;J1208-6238;2.269680;*;
646;J1210-5226;2.357764;*;
647;J1210-5559;3.574392;174.35;
648;J1210-6322;0.859708;547.00;
649;J1210-6550;0.236015;37.00;
650;J1211-6324;2.309021;333.80;
651;J1214-5830;1.099115;141.10;
652;J1215-5328;1.571304;163.00;
653;J1216-50;0.157356;110.00;
654;J1216-6223;2.673418;790.00;
655;J1216-6410;282.535706;47.40;
656;J1220-6318;1.267087;347.00;
657;J1221-0633;518.134715;16.43;
658;J1222-5738;0.924929;74.00;
659;J1223-5856;3.465707;233.00;
660;J1224-6208;1.707180;454.20;
661;J1224-6407;4.619369;97.69;
662;J1225-5556;0.981881;125.83;
663;J1225-6035;1.596618;176.10;
664;J1225-6408;2.383121;415.10;
665;J1226+0005;0.437622;18.50;
666;J1226-3223;0.161473;36.70;
667;J1227-4853;592.987774;43.42;
668;J1227-6208;28.962141;363.00;
669;J1227-63;2.249324;359.00;
670;J1231-1411;271.453020;8.09;
671;J1231-4609;1.139940;67.40;
672;J1231-5113;4.840000;*;
673;J1231-6303;0.740063;301.00;
674;J1231-6511;4.040000;*;
675;J1232-4742;0.533904;26.00;
676;J1232-6501;11.327349;239.40;
677;J1233-6312;1.770666;414.00;
678;J1233-6344;1.321193;495.00;
679;J1234-3630;1.756721;59.29;
680;J1235-54;1.566824;100.00;
