#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
2846;J1929+19;2.947976;528.40;
2847;J1929+1937g;1.773899;458.10;
2848;J1929+1955;3.878495;281.00;
2849;J1929+2121;1.381982;66.00;
2850;J1929+3817;1.228176;93.40;
2851;J1929+62;0.686811;67.70;
2852;J1929+66;1.240695;59.60;
2853;J1930+1316;1.315734;207.30;
2854;J1930+1357g;3.090808;186.60;
2855;J1930+1403g;311.526480;150.50;
2856;J1930+1408;2.348960;210.87;
2857;J1930+1722;0.621231;207.00;
2858;J1930+1852;7.307001;307.30;
2859;J1930-1852;5.390250;42.85;
2860;J1930+2441;173.388147;69.57;
2861;J1931-0144;1.684462;38.30;
2862;J1931+1439;0.562042;243.00;
2863;J1931+1536;3.181113;140.00;
2864;J1931+1817;4.271105;465.00;
2865;J1931+1952;1.995518;441.00;
2866;J1931+30;1.717841;53.00;
2867;J1931+42;*;50.90;
2868;J1932+1059;4.414646;3.18;
2869;J1932+1500;0.536385;90.50;
2870;J1932+1756;23.905551;53.19;
2871;J1932+1916;4.802730;*;
2872;J1932+2020;3.728319;211.15;
2873;J1932+2220;6.921864;218.90;
2874;J1932-3655;1.750025;59.88;
2875;J1933+0758;2.285953;165.02;
2876;J1933+1304;1.077210;177.01;
2877;J1933+1726;46.495984;156.90;
2878;J1933+1923g;2.690125;97.70;
2879;J1933+2038g;24.539877;302.90;
2880;J1933+2421;1.228969;106.03;
2881;J1933+5335;0.487193;33.54;
2882;J1933-6211;282.212314;11.52;
2883;J1934+1926;4.329296;99.10;
2884;J1934+2352;5.604391;355.80;
2885;J1934+5219;1.759194;71.26;
2886;J1935+1159;0.515528;188.76;
2887;J1935+1616;2.787546;158.52;
2888;J1935+1726;238.089468;61.60;
2889;J1935+1745;1.528098;214.60;
2890;J1935+1829;1.185469;343.90;
2891;J1935+2025;12.481569;182.00;
2892;J1935+2154;0.308168;*;
2893;J1936+1536;1.033764;165.00;
2894;J1936+18;17.139391;125.90;
2895;J1936+1952g;102.880658;325.00;
2896;J1936+2036g;30.376671;198.80;
2897;J1936+2042;0.719050;197.40;
2898;J1936+21;1.555307;262.40;
2899;J1936+217;31.663736;75.00;
2900;J1937-00;4.164931;68.60;
2901;J1937+1505;0.348096;237.00;
2902;J1937+1658;252.674072;105.84;
2903;J1937+2544;4.975614;53.22;
2904;J1937+2950;0.603344;113.99;
2905;J1938+0650;0.891614;70.80;
2906;J1938+14;0.344530;75.40;
2907;J1938+2010;1.455431;327.70;
2908;J1938+2012;379.631246;236.91;
2909;J1938+2213;6.019905;93.00;
2910;J1938+2659;1.132077;191.20;
2911;J1938+6604;44.926049;41.24;
2912;J1939+10;0.432900;90.00;
2913;J1939+2134;641.928222;71.02;
2914;J1939+2352g;0.466127;415.50;
2915;J1939+2449;1.549661;142.88;
2916;J1939+2609;2.141499;47.30;
2917;J1940+0239;0.811530;87.20;
2918;J1940-0902;1.022006;42.30;
2919;J1940+2245;3.862316;222.40;
2920;J1940+2337;1.828741;252.10;
2921;J1940-24;10.183299;53.40;
2922;J1940-2403;0.539003;63.30;
2923;J1940+26;207.747779;171.64;
2924;J1941+0121;4.601563;51.87;
2925;J1941-0746;*;43.60;
2926;J1941+1026;1.104492;138.91;
2927;J1941+1341;1.788640;147.90;
2928;J1941+2525;0.433623;314.40;
2929;J1941-2602;2.482265;50.04;
2930;J1941+4320;1.189193;79.36;
2931;J1942+0147;0.711724;133.30;
2932;J1942+1743;1.436241;190.00;
2933;J1942-2019;3.634609;59.90;
2934;J1942+3941;0.738939;104.50;
2935;J1942+8106;4.912594;40.24;
2936;J1943+0609;2.241015;70.76;
2937;J1943-1237;1.028353;28.92;
2938;J1943+2210;196.688796;174.09;
2939;J1944+0907;192.856521;24.36;
2940;J1944-10;2.444181;31.01;
2941;J1944-1750;1.188838;56.32;
2942;J1944+1755;0.500776;175.00;
2943;J1944+2236;276.396328;185.45;
2944;J1945-0040;0.956359;59.71;
2945;J1945+07;0.931185;62.00;
2946;J1945+1211;0.210226;92.70;
2947;J1945+1834;0.935710;217.70;
2948;J1946-09;10.964912;50.63;
2949;J1946-1312;2.033076;63.04;
2950;J1946+14;0.438128;50.30;
2951;J1946+1805;2.269537;16.14;
2952;J1946+2052;58.961655;93.97;
2953;J1946+2244;0.749372;141.50;
2954;J1946+24;0.211461;96.00;
2955;J1946+2535;1.941118;248.81;
2956;J1946+2611;2.298532;165.00;
2957;J1946-2913;1.042266;44.31;
2958;J1946+3417;315.443564;110.18;
2959;J1946-5403;369.003690;23.70;
2960;J1947+0915;0.675336;94.00;
2961;J1947+10;0.900135;149.00;
2962;J1947-18;384.138167;25.00;
2963;J1947+1957;6.348862;185.80;
2964;J1947+2011g;122.399021;127.40;
2965;J1947-4215;0.556152;35.00;
2966;J1947-43;5.526694;29.90;
2967;J1948+1808;2.535790;256.16;
2968;J1948+2333;1.892677;198.20;
2969;J1948+2551;5.085776;289.27;
2970;J1948-27;3.012048;57.85;
2971;J1948+2819;1.072164;303.00;
2972;J1948+3540;1.394095;129.37;
2973;J1949+2306;0.757936;196.30;
2974;J1949+2516g;2.437003;425.70;
2975;J1949-2524;1.044259;23.07;
2976;J1949+3106;76.114025;164.13;
2977;J1949+3426;2.573743;228.20;
2978;J1950+05;2.193300;71.00;
2979;J1950+2352g;3.127346;342.50;
2980;J1950+2414;232.300152;142.08;
2981;J1950+2556g;0.490523;420.40;
2982;J1950+3001;0.358562;249.00;
2983;J1951+1123;0.196306;31.29;
2984;J1951+4724;5.496692;104.35;
2985;J1952+1410;3.636024;31.51;
2986;J1952+2513;0.927947;246.90;
2987;J1952+2630;48.233774;315.34;
2988;J1952+2702g;241.545894;213.10;
2989;J1952+2836g;55.493896;313.00;
2990;J1952+3021;0.600361;189.10;
2991;J1952+3252;25.296479;45.01;
2992;J1953+1149;1.173860;140.03;
2993;J1953+1844g;225.225225;113.10;
2994;J1953+1846A;204.582651;117.00;
2995;J1953+1846B;12.515645;119.00;
2996;J1953+1846C;34.566194;116.20;
2997;J1953+1846D;9.933446;119.04;
2998;J1953+2732;0.749645;194.20;
2999;J1953+2819;0.989117;199.00;
3000;J1953+30;0.786658;43.61;
3001;J1954+1021;0.476317;80.87;
3002;J1954+2407;5.170509;80.50;
3003;J1954+2529;1.073872;182.70;
3004;J1954+2836;10.786433;*;
3005;J1954+2923;2.343694;7.93;
3006;J1954+3852;2.833395;65.36;
3007;J1954+4357;0.720959;130.30;
3008;J1955-0907;2.066116;72.00;
3009;J1955+2527;205.222255;209.97;
3010;J1955+2908;163.047913;104.52;
3011;J1955+2912g;3.577690;193.00;
3012;J1955+2930;0.931205;212.40;
3013;J1955+5059;1.927013;31.98;
3014;J1955+6708;116.748695;57.15;
3015;J1956+07;0.199502;61.30;
3016;J1956+0838;3.290438;67.09;
3017;J1956-2752;3.845941;45.69;
3018;J1956+2826g;13.929517;112.00;
3019;J1957-0002;1.036166;38.44;
3020;J1957+2516;252.419737;44.14;
3021;J1957+2831;3.250100;138.99;
3022;J1957+5033;2.668045;*;
3023;J1958+2846;3.443654;*;
3024;J1958+3033;0.910265;201.90;
3025;J1958+56;3.207184;58.10;
3026;J1959+2048;622.122031;29.12;
3027;J1959+3620;2.462562;273.00;
3028;J2000+2920;0.325332;132.30;
3029;J2001-0349;0.743647;67.00;
3030;J2001+4258;1.390499;54.93;
3031;J2002+1637;3.616669;94.58;
3032;J2002+30;2.370826;187.80;
3033;J2002+3217;1.435213;142.21;
3034;J2002+4050;1.104891;131.49;
3035;J2003+2916;0.990220;209.50;
3036;J2004+2653;1.501775;160.00;
3037;J2004+3137;0.473650;234.82;
3038;J2004+3429;4.150193;351.00;
3039;J2005-0020;0.438662;35.93;
3040;J2005+3411g;1.535980;489.00;
3041;J2005+3547;1.625927;401.60;
3042;J2005+3552;3.247355;455.00;
3043;J2006+0148;462.201872;43.58;
3044;J2006-0807;1.721552;32.39;
3045;J2006+22;0.574086;130.56;
3046;J2006+3102;6.108913;107.16;
3047;J2006+4058;2.001221;259.50;
3048;J2007+0809;3.070080;53.39;
3049;J2007+0910;2.179909;48.73;
3050;J2007+20;0.215796;67.00;
3051;J2007+2722;40.820678;127.00;
3052;J2007+3120;1.644182;191.50;
3053;J2008+2513;1.697230;60.56;
3054;J2008+2755g;0.658215;155.10;
3055;J2008+3139;4.422457;223.90;
3056;J2009+3122g;13.065064;144.10;
3057;J2009+3326;0.695232;263.60;
3058;J2010-1323;191.450912;22.18;
3059;J2010+2845;1.768755;112.47;
3060;J2010+3051;207.629361;133.76;
3061;J2010+31;0.644523;251.80;
3062;J2010+3230;0.693266;371.80;
3063;J2011+3006g;0.399096;14.00;
3064;J2011+3331;1.073269;298.58;
3065;J2012-2029;1.838229;37.67;
3066;J2013-0649;1.723581;63.36;
3067;J2013+3058;3.622825;148.70;
3068;J2013+3100g;2.713336;158.40;
3069;J2013+3845;4.344169;238.22;
3070;J2015+2524;0.434160;11.00;
3071;J2016+1948;15.398738;33.81;
3072;J2017-0414;24.630542;30.85;
3073;J2017+0603;345.278136;23.92;
3074;J2017-1614;432.098476;25.44;
3075;J2017+2043;1.861701;60.49;
3076;J2017-2737;4.464286;25.38;
3077;J2017+2819g;0.545715;66.00;
3078;J2017+3625;5.997031;*;
3079;J2017+5906;2.478448;60.28;
3080;J2018+2839;1.792264;14.20;
3081;J2018+3418g;0.456288;317.10;
3082;J2018+3431;2.579553;222.35;
3083;J2019+2425;254.160346;17.20;
3084;J2019+72;4.566210;34.88;
3085;J2021+3651;9.639395;367.50;
3086;J2021+4024g;2.698764;680.50;
3087;J2021+4026;3.769067;*;
3088;J2022+21;1.244555;73.52;
3089;J2022+2534;377.358491;53.66;
3090;J2022+2854;2.912038;24.63;
3091;J2022+3842;20.585120;429.10;
3092;J2022+3845g;0.991179;487.50;
3093;J2022+5154;1.889656;22.55;
3094;J2023+2853g;88.261253;22.80;
3095;J2023+5037;2.683706;32.99;
3096;J2024+48;0.792393;99.00;
3097;J2027+2146;2.511471;97.09;
3098;J2027+4557;0.909379;229.59;
3099;J2027+7502;1.940924;11.42;
3100;J2028+3332;5.659072;*;
3101;J2029+3744;0.821825;190.66;
3102;J2030+2228;1.586011;71.86;
3103;J2030+3641;4.996787;246.00;
3104;J2030+3818g;7.478313;596.70;
3105;J2030+3929g;0.581930;491.90;
3106;J2030+3944g;3.266053;937.40;
3107;J2030+4415;4.403925;*;
3108;J2030+55;1.727116;59.43;
3109;J2032+4127;6.980975;114.67;
3110;J2033+0042;0.199465;37.84;
3111;J2033+1734;168.096678;25.08;
3112;J2033-1938;0.780202;23.47;
3113;J2034+3632;273.950000;*;
3114;J2036+2835;0.735983;84.22;
3115;J2036+6646;1.992321;50.76;
3116;J2037+1942;0.482072;36.89;
3117;J2037+3621;1.616253;93.56;
3118;J2038+35;6.250000;57.91;
3119;J2038-3816;0.633999;33.96;
3120;J2038+5319;0.701967;160.20;
3121;J2039-3616;305.810398;23.96;
3122;J2039-5617;377.229363;24.57;
3123;J2040+1657;1.155260;50.69;
3124;J2040-21;1.776199;23.87;
3125;J2042+0246;220.569096;9.27;
3126;J2043+1711;420.189443;20.76;
3127;J2043+2740;10.402519;21.02;
3128;J2043+7045;1.700680;57.64;
3129;J2044+28;0.618047;90.30;
3130;J2044+4614;0.718022;315.40;
3131;J2045+0912;2.528093;31.78;
3132;J2045+3633;31.563821;129.53;
3133;J2045-68;337.837838;21.20;
3134;J2046-0421;0.646438;35.80;
3135;J2046+1540;0.878514;39.82;
3136;J2046+5708;2.097602;101.79;
3137;J2047+1053;233.100233;34.60;
3138;J2047+5029;2.242431;107.68;
3139;J2048-1616;0.509795;11.46;
3140;J2048+2255;3.522355;70.68;
3141;J2050+1259;0.818987;52.40;
3142;J2051-0827;221.796284;20.73;
3143;J2051+1248;1.807771;43.45;
3144;J2051+4434g;0.767365;616.00;
3145;J2051+50;595.238095;23.90;
3146;J2052+1219;503.713303;41.96;
3147;J2052+4421g;2.664464;547.00;
3148;J2053+1718;8.384496;26.98;
3149;J2053+4650;79.451623;98.08;
3150;J2053+4718;0.203650;331.30;
3151;J2053-7200;2.929661;17.30;
3152;J2054-39;1.023541;24.90;
3153;J2055+15;462.962963;40.20;
3154;J2055+2209;1.226721;36.35;
3155;J2055+2539;3.129291;*;
3156;J2055+3630;4.514517;97.42;
3157;J2055+3829;478.631428;91.83;
3158;J2057+21;0.857118;73.31;
3159;J2102+38;0.840336;86.30;
3160;J2105+07;0.266907;52.60;
3161;J2105+19;*;33.00;
3162;J2105+28;2.464651;62.48;
3163;J2105+6223;0.433862;50.75;
3164;J2108-3429;0.702690;30.22;
3165;J2108+4441;2.410390;139.83;
3166;J2108+4516;1.732417;82.40;
3167;J2111+2106;0.252918;59.30;
3168;J2111+40;0.246245;120.00;
3169;J2111+4606;6.335934;*;
3170;J2112+4058;0.246260;129.00;
3171;J2113+2754;0.831358;25.11;
3172;J2113+4644;0.985528;141.26;
3173;J2113+67;1.811037;54.98;
3174;J2115+5448;384.190302;77.41;
3175;J2116+1414;2.271937;56.20;
3176;J2122+2426;1.846991;8.50;
3177;J2123+36;0.772798;108.70;
3178;J2123+5434;7.201079;31.76;
3179;J2124+1407;1.440811;30.25;
3180;J2124-3358;202.793894;4.60;
3181;J2127-6648;3.069638;35.00;
3182;J2129-0429;131.233596;16.88;
3183;J2129+1210A;9.036305;67.31;
3184;J2129+1210B;17.814821;67.69;
3185;J2129+1210C;32.755423;67.13;
3186;J2129+1210D;208.211688;67.30;
3187;J2129+1210E;214.987408;66.51;
3188;J2129+1210F;248.321181;65.52;
3189;J2129+1210G;26.553255;66.40;
3190;J2129+1210H;148.293273;67.15;
3191;J2129+1210I;195.312500;67.30;
3192;J2129+4119;0.592621;32.00;
3193;J2129-5721;268.359227;31.86;
3194;J2131-31;0.300752;31.60;
3195;J2133-0049A;98.522167;43.30;
3196;J2133-0049B;143.472023;43.80;
3197;J2133-0049C;333.333333;44.10;
3198;J2133-0049D;236.966825;43.60;
3199;J2133-0049E;270.270270;43.80;
3200;J2136-1606;0.814840;18.48;
3201;J2136-5046;3.740803;23.30;
3202;J2137+6428;0.571106;106.00;
3203;J2138+4911;1.436429;168.40;
3204;J2139+00;3.200307;31.18;
3205;J2139+2242;0.922923;44.16;
3206;J2139+4716;3.535451;*;
3207;J2139+4738g;1.795203;138.90;
3208;J2140-2310A;90.749627;25.06;
3209;J2140-2310B;77.003746;25.09;
3210;J2143+0654;0.106064;*;
3211;J2144-3933;0.117511;3.35;
3212;J2144-5237;198.355483;19.55;
3213;J2145-0750;62.295888;9.00;
3214;J2145+21;0.704722;44.10;
3215;J2148-34;1.078749;14.00;
3216;J2149+6329;2.630607;129.72;
3217;J2150-03;285.714286;20.67;
3218;J2150+5247;3.010183;148.93;
3219;J2151+2315;1.684825;23.60;
3220;J2154-2812;0.744401;33.00;
3221;J2155+2813;0.621496;77.13;
3222;J2155-3118;0.970872;14.85;
3223;J2155-5641;0.727985;14.00;
3224;J2156+2618;2.007431;48.44;
3225;J2157+4017;0.655624;71.12;
3226;J2158-27;2.096436;22.15;
3227;J2202+21;*;17.70;
3228;J2203+50;1.342282;77.00;
3229;J2204+2700;11.806011;35.07;
3230;J2205+1444;1.066082;36.72;
3231;J2205+6012;414.937759;157.60;
3232;J2206+6151;3.099107;168.80;
3233;J2207-15;1.305483;27.50;
3234;J2208+4056;1.569964;11.84;
3235;J2208+5500;1.071625;105.21;
3236;J2209+22;0.562778;46.30;
3237;J2210+57;0.486043;189.43;
3238;J2212+2933;0.995428;74.52;
3239;J2213+53;1.331558;161.00;
3240;J2214+3000;320.592292;22.54;
3241;J2215+1538;2.672397;29.24;
3242;J2215+5135;383.197594;69.20;
3243;J2216+5759;2.386052;176.00;
3244;J2217+5733;0.946213;130.67;
3245;J2219+4754;1.857118;43.50;
3246;J2222-0137;30.471214;3.28;
3247;J2222+2923;3.553671;49.41;
3248;J2222+5602;0.748503;163.30;
3249;J2225+35;1.063830;51.80;
3250;J2225+6535;1.465110;36.44;
3251;J2227+30;1.187073;20.10;
3252;J2228+6447;0.528267;193.60;
3253;J2228-65;0.364169;36.00;
3254;J2229+2643;335.816213;22.73;
3255;J2229+6114;19.370995;205.10;
3256;J2229+6205;2.257058;124.64;
3257;J2234+0611;279.596582;10.76;
3258;J2234+0944;275.707833;17.83;
3259;J2234+2114;0.735973;35.08;
3260;J2235+1506;16.731541;18.09;
3261;J2236-5527;144.769142;20.00;
3262;J2238+5903;6.145003;*;
3263;J2238+6021;0.325733;185.30;
3264;J2240+5832;7.146200;263.50;
3265;J2241-5236;457.310150;11.41;
3266;J2241+6941;1.169042;67.67;
3267;J2242+6950;0.600781;40.86;
3268;J2243+1518;1.675605;42.13;
3269;J2244+63;2.169197;92.15;
3270;J2248-0101;2.095412;29.05;
3271;J2251+24;0.556185;34.60;
3272;J2251-3711;0.082491;12.12;
3273;J2253+1516;1.262250;29.20;
3274;J2256-1024;435.818755;13.78;
3275;J2257-16;2.132196;52.66;
3276;J2257+5909;2.715573;151.08;
3277;J2301+5852;0.143286;*;
3278;J2302+4442;192.591964;13.79;
3279;J2302+6028;0.828910;156.70;
3280;J2305+3100;0.634564;49.58;
3281;J2305+4707;0.937760;62.07;
3282;J2306+31;2.927400;46.13;
3283;J2307+2225;1.866267;7.02;
3284;J2308+5547;2.104963;46.54;
3285;J2310-0555;382.762404;15.51;
3286;J2310+6706;0.514195;97.70;
3287;J2312+6931;1.229446;71.60;
3288;J2313+4253;2.861773;17.28;
3289;J2315+58;0.942507;73.20;
3290;J2317+1439;290.254608;21.88;
3291;J2317+2149;0.692208;20.87;
3292;J2319+6411;4.629238;246.10;
3293;J2321+6024;0.443166;94.59;
3294;J2322+2057;207.968163;13.38;
3295;J2322-2650;288.758695;6.15;
3296;J2323+1214;0.265993;29.00;
3297;J2324-6054;0.425987;14.00;
3298;J2325-0530;1.151099;14.97;
3299;J2325+6316;0.696229;197.37;
3300;J2326+6113;4.279870;122.61;
3301;J2326+6141;1.265823;34.50;
3302;J2327+62;3.759398;193.40;
3303;J2329+16;1.582028;31.00;
3304;J2329+4743;1.372856;44.01;
3305;J2330-2005;0.608412;8.46;
3306;J2333+6145;1.321180;125.00;
3307;J2336-01;0.971062;19.60;
3308;J2337+6151;2.018694;58.41;
3309;J2338+4818;8.423872;35.30;
3310;J2339-0533;346.713379;8.72;
3311;J2340+08;3.297066;24.00;
3312;J2343+6221;0.555864;116.60;
3313;J2346-0609;0.846408;22.50;
3314;J2347+02;0.722820;15.00;
3315;J2350+31;1.968117;39.14;
3316;J2351+8533;0.988409;38.20;
3317;J2352+65;0.859107;152.70;
3318;J2354-22;1.792128;9.90;
3319;J2354+6155;1.058443;94.66;
3320;J2355+2246;0.543187;23.10;
